id,german,english,german_sentence,english_sentence
260,Fisch,fish,Mit 'Fisch' kann man viele Sätze bilden.,With 'Fisch' you can form many sentences.
261,berg,mountain,Ich benutze oft das Wort 'berg' im Alltag.,I often use the word 'berg' in daily life.
262,Stopp,stop,"Gestern habe ich ein Buch gelesen, in dem oft 'Stopp' stand.",Yesterday I read a book in which often 'Stopp' appeared.
263,einmal,once,"Gestern habe ich ein Buch gelesen, in dem oft 'einmal' stand.",Yesterday I read a book in which often 'einmal' appeared.
264,Basis,base,"Gestern habe ich ein Buch gelesen, in dem oft 'Basis' stand.",Yesterday I read a book in which often 'Basis' appeared.
265,hören,hear,"Gestern habe ich ein Buch gelesen, in dem oft 'hören' stand.",Yesterday I read a book in which often 'hören' appeared.
266,Pferd,horse,"Kannst du mir bitte erklären, was 'Pferd' bedeutet?",Can you please explain to me what 'Pferd' means?
267,Schnitt,cut,"Gestern habe ich ein Buch gelesen, in dem oft 'Schnitt' stand.",Yesterday I read a book in which often 'Schnitt' appeared.
268,sicher,sure,"Gestern habe ich ein Buch gelesen, in dem oft 'sicher' stand.",Yesterday I read a book in which often 'sicher' appeared.
269,beobachten,watch,Mit 'beobachten' kann man viele Sätze bilden.,With 'beobachten' you can form many sentences.
270,Farbe,color,"Kannst du mir bitte erklären, was 'Farbe' bedeutet?",Can you please explain to me what 'Farbe' means?
271,Gesicht,face,"Kannst du mir bitte erklären, was 'Gesicht' bedeutet?",Can you please explain to me what 'Gesicht' means?
272,Holz,wood,"Gestern habe ich ein Buch gelesen, in dem oft 'Holz' stand.",Yesterday I read a book in which often 'Holz' appeared.
273,Haupt-,main,"Gestern habe ich ein Buch gelesen, in dem oft 'Haupt-' stand.",Yesterday I read a book in which often 'Haupt-' appeared.
274,geöffnet,open,Mit 'geöffnet' kann man viele Sätze bilden.,With 'geöffnet' you can form many sentences.
275,scheinen,seem,'scheinen' ist ein wichtiges Wort in der deutschen Sprache.,'scheinen' is an important word in the German language.
276,zusammen,together,"Kannst du mir bitte erklären, was 'zusammen' bedeutet?",Can you please explain to me what 'zusammen' means?
277,nächste,next,'nächste' ist ein wichtiges Wort in der deutschen Sprache.,'nächste' is an important word in the German language.
278,weiß,white,"Gestern habe ich ein Buch gelesen, in dem oft 'weiß' stand.",Yesterday I read a book in which often 'weiß' appeared.
279,Kinder,children,Mit 'Kinder' kann man viele Sätze bilden.,With 'Kinder' you can form many sentences.
280,Start,begin,"Gestern habe ich ein Buch gelesen, in dem oft 'Start' stand.",Yesterday I read a book in which often 'Start' appeared.
281,bekam,got,"Kannst du mir bitte erklären, was 'bekam' bedeutet?",Can you please explain to me what 'bekam' means?
282,gehen,walk,"Gestern habe ich ein Buch gelesen, in dem oft 'gehen' stand.",Yesterday I read a book in which often 'gehen' appeared.
283,Beispiel,example,Mit 'Beispiel' kann man viele Sätze bilden.,With 'Beispiel' you can form many sentences.
284,erleichtern,ease,"Gestern habe ich ein Buch gelesen, in dem oft 'erleichtern' stand.",Yesterday I read a book in which often 'erleichtern' appeared.
285,Papier,paper,Mit 'Papier' kann man viele Sätze bilden.,With 'Papier' you can form many sentences.
286,Gruppe,group,"Kannst du mir bitte erklären, was 'Gruppe' bedeutet?",Can you please explain to me what 'Gruppe' means?
287,immer,always,'immer' ist ein wichtiges Wort in der deutschen Sprache.,'immer' is an important word in the German language.
288,Musik,music,Mit 'Musik' kann man viele Sätze bilden.,With 'Musik' you can form many sentences.
289,diejenigen,those,Ich benutze oft das Wort 'diejenigen' im Alltag.,I often use the word 'diejenigen' in daily life.
290,beide,both,"Kannst du mir bitte erklären, was 'beide' bedeutet?",Can you please explain to me what 'beide' means?
291,Marke,mark,"Gestern habe ich ein Buch gelesen, in dem oft 'Marke' stand.",Yesterday I read a book in which often 'Marke' appeared.
292,oft,often,"Gestern habe ich ein Buch gelesen, in dem oft 'oft' stand.",Yesterday I read a book in which often 'oft' appeared.
293,Schreiben,letter,Mit 'Schreiben' kann man viele Sätze bilden.,With 'Schreiben' you can form many sentences.
294,bis,until,"Kannst du mir bitte erklären, was 'bis' bedeutet?",Can you please explain to me what 'bis' means?
295,Meile,mile,Mit 'Meile' kann man viele Sätze bilden.,With 'Meile' you can form many sentences.
296,Fluss,river,"Gestern habe ich ein Buch gelesen, in dem oft 'Fluss' stand.",Yesterday I read a book in which often 'Fluss' appeared.
297,Auto,car,Mit 'Auto' kann man viele Sätze bilden.,With 'Auto' you can form many sentences.
298,Füße,feet,"Gestern habe ich ein Buch gelesen, in dem oft 'Füße' stand.",Yesterday I read a book in which often 'Füße' appeared.
299,Pflege,care,Ich benutze oft das Wort 'Pflege' im Alltag.,I often use the word 'Pflege' in daily life.
300,zweite,second,Ich benutze oft das Wort 'zweite' im Alltag.,I often use the word 'zweite' in daily life.
301,genug,enough,"Gestern habe ich ein Buch gelesen, in dem oft 'genug' stand.",Yesterday I read a book in which often 'genug' appeared.
302,Ebene,plain,"Gestern habe ich ein Buch gelesen, in dem oft 'Ebene' stand.",Yesterday I read a book in which often 'Ebene' appeared.
303,Mädchen,girl,Mit 'Mädchen' kann man viele Sätze bilden.,With 'Mädchen' you can form many sentences.
304,üblich,usual,"Gestern habe ich ein Buch gelesen, in dem oft 'üblich' stand.",Yesterday I read a book in which often 'üblich' appeared.
305,jung,young,"Kannst du mir bitte erklären, was 'jung' bedeutet?",Can you please explain to me what 'jung' means?
306,bereit,ready,"Gestern habe ich ein Buch gelesen, in dem oft 'bereit' stand.",Yesterday I read a book in which often 'bereit' appeared.
307,oben,above,Ich benutze oft das Wort 'oben' im Alltag.,I often use the word 'oben' in daily life.
308,je,ever,Mit 'je' kann man viele Sätze bilden.,With 'je' you can form many sentences.
309,rot,red,"Kannst du mir bitte erklären, was 'rot' bedeutet?",Can you please explain to me what 'rot' means?
310,Liste,list,'Liste' ist ein wichtiges Wort in der deutschen Sprache.,'Liste' is an important word in the German language.
311,obwohl,though,Ich benutze oft das Wort 'obwohl' im Alltag.,I often use the word 'obwohl' in daily life.
312,fühlen,feel,"Gestern habe ich ein Buch gelesen, in dem oft 'fühlen' stand.",Yesterday I read a book in which often 'fühlen' appeared.
313,Vortrag,talk,Ich benutze oft das Wort 'Vortrag' im Alltag.,I often use the word 'Vortrag' in daily life.
314,Vogel,bird,'Vogel' ist ein wichtiges Wort in der deutschen Sprache.,'Vogel' is an important word in the German language.
315,bald,soon,"Kannst du mir bitte erklären, was 'bald' bedeutet?",Can you please explain to me what 'bald' means?
316,Körper,body,Ich benutze oft das Wort 'Körper' im Alltag.,I often use the word 'Körper' in daily life.
317,Hund,dog,Ich benutze oft das Wort 'Hund' im Alltag.,I often use the word 'Hund' in daily life.
318,Familie,family,"Kannst du mir bitte erklären, was 'Familie' bedeutet?",Can you please explain to me what 'Familie' means?
319,direkt,direct,Mit 'direkt' kann man viele Sätze bilden.,With 'direkt' you can form many sentences.
320,Pose,pose,Ich benutze oft das Wort 'Pose' im Alltag.,I often use the word 'Pose' in daily life.
321,verlassen,leave,Mit 'verlassen' kann man viele Sätze bilden.,With 'verlassen' you can form many sentences.
322,Lied,song,Ich benutze oft das Wort 'Lied' im Alltag.,I often use the word 'Lied' in daily life.
323,messen,measure,"Kannst du mir bitte erklären, was 'messen' bedeutet?",Can you please explain to me what 'messen' means?
324,Tür,door,"Gestern habe ich ein Buch gelesen, in dem oft 'Tür' stand.",Yesterday I read a book in which often 'Tür' appeared.
325,Produkt,product,"Kannst du mir bitte erklären, was 'Produkt' bedeutet?",Can you please explain to me what 'Produkt' means?
326,schwarz,black,'schwarz' ist ein wichtiges Wort in der deutschen Sprache.,'schwarz' is an important word in the German language.
327,kurz,short,"Kannst du mir bitte erklären, was 'kurz' bedeutet?",Can you please explain to me what 'kurz' means?
328,Zahl,numeral,Mit 'Zahl' kann man viele Sätze bilden.,With 'Zahl' you can form many sentences.
329,Klasse,class,'Klasse' ist ein wichtiges Wort in der deutschen Sprache.,'Klasse' is an important word in the German language.
330,Wind,wind,Mit 'Wind' kann man viele Sätze bilden.,With 'Wind' you can form many sentences.
331,Frage,question,Ich benutze oft das Wort 'Frage' im Alltag.,I often use the word 'Frage' in daily life.
332,passieren,happen,'passieren' ist ein wichtiges Wort in der deutschen Sprache.,'passieren' is an important word in the German language.
333,vollständig,complete,'vollständig' ist ein wichtiges Wort in der deutschen Sprache.,'vollständig' is an important word in the German language.
334,Schiff,ship,"Kannst du mir bitte erklären, was 'Schiff' bedeutet?",Can you please explain to me what 'Schiff' means?
335,Bereich,area,Mit 'Bereich' kann man viele Sätze bilden.,With 'Bereich' you can form many sentences.
336,Hälfte,half,Mit 'Hälfte' kann man viele Sätze bilden.,With 'Hälfte' you can form many sentences.
337,Stein,rock,'Stein' ist ein wichtiges Wort in der deutschen Sprache.,'Stein' is an important word in the German language.
338,bestellen,order,Mit 'bestellen' kann man viele Sätze bilden.,With 'bestellen' you can form many sentences.
339,Feuer,fire,"Kannst du mir bitte erklären, was 'Feuer' bedeutet?",Can you please explain to me what 'Feuer' means?
340,Süden,south,"Kannst du mir bitte erklären, was 'Süden' bedeutet?",Can you please explain to me what 'Süden' means?
341,Problem,problem,Ich benutze oft das Wort 'Problem' im Alltag.,I often use the word 'Problem' in daily life.
342,Stück,piece,Ich benutze oft das Wort 'Stück' im Alltag.,I often use the word 'Stück' in daily life.
343,sagte,told,"Gestern habe ich ein Buch gelesen, in dem oft 'sagte' stand.",Yesterday I read a book in which often 'sagte' appeared.
344,wusste,knew,Mit 'wusste' kann man viele Sätze bilden.,With 'wusste' you can form many sentences.
345,passieren,pass,Ich benutze oft das Wort 'passieren' im Alltag.,I often use the word 'passieren' in daily life.
346,seit,since,"Kannst du mir bitte erklären, was 'seit' bedeutet?",Can you please explain to me what 'seit' means?
347,obere,top,Ich benutze oft das Wort 'obere' im Alltag.,I often use the word 'obere' in daily life.
348,ganze,whole,Ich benutze oft das Wort 'ganze' im Alltag.,I often use the word 'ganze' in daily life.
349,König,king,Ich benutze oft das Wort 'König' im Alltag.,I often use the word 'König' in daily life.
350,Straße,street,'Straße' ist ein wichtiges Wort in der deutschen Sprache.,'Straße' is an important word in the German language.
351,Zoll,inch,"Gestern habe ich ein Buch gelesen, in dem oft 'Zoll' stand.",Yesterday I read a book in which often 'Zoll' appeared.
352,multiplizieren,multiply,Mit 'multiplizieren' kann man viele Sätze bilden.,With 'multiplizieren' you can form many sentences.
353,nichts,nothing,"Gestern habe ich ein Buch gelesen, in dem oft 'nichts' stand.",Yesterday I read a book in which often 'nichts' appeared.
354,Kurs,course,Mit 'Kurs' kann man viele Sätze bilden.,With 'Kurs' you can form many sentences.
355,bleiben,stay,Ich benutze oft das Wort 'bleiben' im Alltag.,I often use the word 'bleiben' in daily life.
356,Rad,wheel,"Kannst du mir bitte erklären, was 'Rad' bedeutet?",Can you please explain to me what 'Rad' means?
357,voll,full,"Gestern habe ich ein Buch gelesen, in dem oft 'voll' stand.",Yesterday I read a book in which often 'voll' appeared.
358,Kraft,force,"Gestern habe ich ein Buch gelesen, in dem oft 'Kraft' stand.",Yesterday I read a book in which often 'Kraft' appeared.
359,blau,blue,"Kannst du mir bitte erklären, was 'blau' bedeutet?",Can you please explain to me what 'blau' means?
360,Objekt,object,'Objekt' ist ein wichtiges Wort in der deutschen Sprache.,'Objekt' is an important word in the German language.
361,entscheiden,decide,'entscheiden' ist ein wichtiges Wort in der deutschen Sprache.,'entscheiden' is an important word in the German language.
362,Oberfläche,surface,"Kannst du mir bitte erklären, was 'Oberfläche' bedeutet?",Can you please explain to me what 'Oberfläche' means?
363,tief,deep,"Gestern habe ich ein Buch gelesen, in dem oft 'tief' stand.",Yesterday I read a book in which often 'tief' appeared.
364,Mond,moon,"Gestern habe ich ein Buch gelesen, in dem oft 'Mond' stand.",Yesterday I read a book in which often 'Mond' appeared.
365,Insel,island,"Gestern habe ich ein Buch gelesen, in dem oft 'Insel' stand.",Yesterday I read a book in which often 'Insel' appeared.
366,Fuß,foot,Ich benutze oft das Wort 'Fuß' im Alltag.,I often use the word 'Fuß' in daily life.
367,System,system,Ich benutze oft das Wort 'System' im Alltag.,I often use the word 'System' in daily life.
368,beschäftigt,busy,"Gestern habe ich ein Buch gelesen, in dem oft 'beschäftigt' stand.",Yesterday I read a book in which often 'beschäftigt' appeared.
369,Prüfung,test,"Kannst du mir bitte erklären, was 'Prüfung' bedeutet?",Can you please explain to me what 'Prüfung' means?
370,Rekord,record,Mit 'Rekord' kann man viele Sätze bilden.,With 'Rekord' you can form many sentences.
371,Boot,boat,"Gestern habe ich ein Buch gelesen, in dem oft 'Boot' stand.",Yesterday I read a book in which often 'Boot' appeared.
372,gemeinsam,common,Mit 'gemeinsam' kann man viele Sätze bilden.,With 'gemeinsam' you can form many sentences.
373,goldenen,gold,"Gestern habe ich ein Buch gelesen, in dem oft 'goldenen' stand.",Yesterday I read a book in which often 'goldenen' appeared.
374,möglich,possible,"Gestern habe ich ein Buch gelesen, in dem oft 'möglich' stand.",Yesterday I read a book in which often 'möglich' appeared.
375,Flugzeug,plane,"Kannst du mir bitte erklären, was 'Flugzeug' bedeutet?",Can you please explain to me what 'Flugzeug' means?
376,statt,stead,Ich benutze oft das Wort 'statt' im Alltag.,I often use the word 'statt' in daily life.
377,trocken,dry,"Gestern habe ich ein Buch gelesen, in dem oft 'trocken' stand.",Yesterday I read a book in which often 'trocken' appeared.
378,Wunder,wonder,'Wunder' ist ein wichtiges Wort in der deutschen Sprache.,'Wunder' is an important word in the German language.
379,Lachen,laugh,"Gestern habe ich ein Buch gelesen, in dem oft 'Lachen' stand.",Yesterday I read a book in which often 'Lachen' appeared.
380,tausend,thousand,'tausend' ist ein wichtiges Wort in der deutschen Sprache.,'tausend' is an important word in the German language.
381,vor,ago,Mit 'vor' kann man viele Sätze bilden.,With 'vor' you can form many sentences.
382,lief,ran,"Gestern habe ich ein Buch gelesen, in dem oft 'lief' stand.",Yesterday I read a book in which often 'lief' appeared.
383,überprüfen,check,Ich benutze oft das Wort 'überprüfen' im Alltag.,I often use the word 'überprüfen' in daily life.
384,Spiel,game,Mit 'Spiel' kann man viele Sätze bilden.,With 'Spiel' you can form many sentences.
385,Form,shape,Ich benutze oft das Wort 'Form' im Alltag.,I often use the word 'Form' in daily life.
386,gleichsetzen,equate,'gleichsetzen' ist ein wichtiges Wort in der deutschen Sprache.,'gleichsetzen' is an important word in the German language.
387,heiß,hot,"Gestern habe ich ein Buch gelesen, in dem oft 'heiß' stand.",Yesterday I read a book in which often 'heiß' appeared.
388,Fehl,miss,"Gestern habe ich ein Buch gelesen, in dem oft 'Fehl' stand.",Yesterday I read a book in which often 'Fehl' appeared.
389,gebracht,brought,Ich benutze oft das Wort 'gebracht' im Alltag.,I often use the word 'gebracht' in daily life.
390,Wärme,heat,"Gestern habe ich ein Buch gelesen, in dem oft 'Wärme' stand.",Yesterday I read a book in which often 'Wärme' appeared.
391,Schnee,snow,Ich benutze oft das Wort 'Schnee' im Alltag.,I often use the word 'Schnee' in daily life.
392,Reifen,tire,"Gestern habe ich ein Buch gelesen, in dem oft 'Reifen' stand.",Yesterday I read a book in which often 'Reifen' appeared.
393,bringen,bring,Mit 'bringen' kann man viele Sätze bilden.,With 'bringen' you can form many sentences.
394,ja,yes,"Gestern habe ich ein Buch gelesen, in dem oft 'ja' stand.",Yesterday I read a book in which often 'ja' appeared.
395,entfernt,distant,Mit 'entfernt' kann man viele Sätze bilden.,With 'entfernt' you can form many sentences.
396,füllen,fill,Ich benutze oft das Wort 'füllen' im Alltag.,I often use the word 'füllen' in daily life.
397,Osten,east,"Kannst du mir bitte erklären, was 'Osten' bedeutet?",Can you please explain to me what 'Osten' means?
398,malen,paint,'malen' ist ein wichtiges Wort in der deutschen Sprache.,'malen' is an important word in the German language.
399,Sprache,language,Ich benutze oft das Wort 'Sprache' im Alltag.,I often use the word 'Sprache' in daily life.
400,unter,among,'unter' ist ein wichtiges Wort in der deutschen Sprache.,'unter' is an important word in the German language.
401,Einheit,unit,"Gestern habe ich ein Buch gelesen, in dem oft 'Einheit' stand.",Yesterday I read a book in which often 'Einheit' appeared.
402,Macht,power,'Macht' ist ein wichtiges Wort in der deutschen Sprache.,'Macht' is an important word in the German language.
403,Stadt,town,"Gestern habe ich ein Buch gelesen, in dem oft 'Stadt' stand.",Yesterday I read a book in which often 'Stadt' appeared.
404,fein,fine,Ich benutze oft das Wort 'fein' im Alltag.,I often use the word 'fein' in daily life.
405,sicher,certain,Mit 'sicher' kann man viele Sätze bilden.,With 'sicher' you can form many sentences.
406,fliegen,fly,'fliegen' ist ein wichtiges Wort in der deutschen Sprache.,'fliegen' is an important word in the German language.
407,fallen,fall,Mit 'fallen' kann man viele Sätze bilden.,With 'fallen' you can form many sentences.
408,führen,lead,"Gestern habe ich ein Buch gelesen, in dem oft 'führen' stand.",Yesterday I read a book in which often 'führen' appeared.
409,Schrei,cry,"Gestern habe ich ein Buch gelesen, in dem oft 'Schrei' stand.",Yesterday I read a book in which often 'Schrei' appeared.
410,dunkel,dark,Mit 'dunkel' kann man viele Sätze bilden.,With 'dunkel' you can form many sentences.
411,Maschine,machine,"Kannst du mir bitte erklären, was 'Maschine' bedeutet?",Can you please explain to me what 'Maschine' means?
412,note,note,"Kannst du mir bitte erklären, was 'note' bedeutet?",Can you please explain to me what 'note' means?
413,warten,wait,Mit 'warten' kann man viele Sätze bilden.,With 'warten' you can form many sentences.
414,Plan,plan,'Plan' ist ein wichtiges Wort in der deutschen Sprache.,'Plan' is an important word in the German language.
415,Abbildung,figure,'Abbildung' ist ein wichtiges Wort in der deutschen Sprache.,'Abbildung' is an important word in the German language.
416,Stern,star,Ich benutze oft das Wort 'Stern' im Alltag.,I often use the word 'Stern' in daily life.
417,Kasten,box,Ich benutze oft das Wort 'Kasten' im Alltag.,I often use the word 'Kasten' in daily life.
418,Nomen,noun,"Kannst du mir bitte erklären, was 'Nomen' bedeutet?",Can you please explain to me what 'Nomen' means?
419,Feld,field,Mit 'Feld' kann man viele Sätze bilden.,With 'Feld' you can form many sentences.
420,Rest,rest,Mit 'Rest' kann man viele Sätze bilden.,With 'Rest' you can form many sentences.
421,richtig,correct,Ich benutze oft das Wort 'richtig' im Alltag.,I often use the word 'richtig' in daily life.
422,fähig,able,"Gestern habe ich ein Buch gelesen, in dem oft 'fähig' stand.",Yesterday I read a book in which often 'fähig' appeared.
423,Pfund,pound,Ich benutze oft das Wort 'Pfund' im Alltag.,I often use the word 'Pfund' in daily life.
424,getan,done,"Kannst du mir bitte erklären, was 'getan' bedeutet?",Can you please explain to me what 'getan' means?
425,Schönheit,beauty,Mit 'Schönheit' kann man viele Sätze bilden.,With 'Schönheit' you can form many sentences.
426,Antriebs,drive,'Antriebs' ist ein wichtiges Wort in der deutschen Sprache.,'Antriebs' is an important word in the German language.
427,stand,stood,Mit 'stand' kann man viele Sätze bilden.,With 'stand' you can form many sentences.
428,enthalten,contain,"Kannst du mir bitte erklären, was 'enthalten' bedeutet?",Can you please explain to me what 'enthalten' means?
429,Front,front,Mit 'Front' kann man viele Sätze bilden.,With 'Front' you can form many sentences.
430,lehren,teach,Mit 'lehren' kann man viele Sätze bilden.,With 'lehren' you can form many sentences.
431,Woche,week,Mit 'Woche' kann man viele Sätze bilden.,With 'Woche' you can form many sentences.
432,Finale,final,Ich benutze oft das Wort 'Finale' im Alltag.,I often use the word 'Finale' in daily life.
433,gab,gave,"Kannst du mir bitte erklären, was 'gab' bedeutet?",Can you please explain to me what 'gab' means?
434,grün,green,"Gestern habe ich ein Buch gelesen, in dem oft 'grün' stand.",Yesterday I read a book in which often 'grün' appeared.
435,oh,oh,Mit 'oh' kann man viele Sätze bilden.,With 'oh' you can form many sentences.
436,schnell,quick,Ich benutze oft das Wort 'schnell' im Alltag.,I often use the word 'schnell' in daily life.
437,entwickeln,develop,'entwickeln' ist ein wichtiges Wort in der deutschen Sprache.,'entwickeln' is an important word in the German language.
438,Ozean,ocean,"Kannst du mir bitte erklären, was 'Ozean' bedeutet?",Can you please explain to me what 'Ozean' means?
439,warme,warm,"Gestern habe ich ein Buch gelesen, in dem oft 'warme' stand.",Yesterday I read a book in which often 'warme' appeared.
440,kostenlos,free,"Kannst du mir bitte erklären, was 'kostenlos' bedeutet?",Can you please explain to me what 'kostenlos' means?
441,Minute,minute,'Minute' ist ein wichtiges Wort in der deutschen Sprache.,'Minute' is an important word in the German language.
442,stark,strong,'stark' ist ein wichtiges Wort in der deutschen Sprache.,'stark' is an important word in the German language.
443,besondere,special,'besondere' ist ein wichtiges Wort in der deutschen Sprache.,'besondere' is an important word in the German language.
444,Geist,mind,Mit 'Geist' kann man viele Sätze bilden.,With 'Geist' you can form many sentences.
445,hinter,behind,Mit 'hinter' kann man viele Sätze bilden.,With 'hinter' you can form many sentences.
446,klar,clear,Mit 'klar' kann man viele Sätze bilden.,With 'klar' you can form many sentences.
447,Schwanz,tail,'Schwanz' ist ein wichtiges Wort in der deutschen Sprache.,'Schwanz' is an important word in the German language.
448,produzieren,produce,Mit 'produzieren' kann man viele Sätze bilden.,With 'produzieren' you can form many sentences.
449,Tatsache,fact,"Kannst du mir bitte erklären, was 'Tatsache' bedeutet?",Can you please explain to me what 'Tatsache' means?
450,Raum,space,"Gestern habe ich ein Buch gelesen, in dem oft 'Raum' stand.",Yesterday I read a book in which often 'Raum' appeared.
451,gehört,heard,Ich benutze oft das Wort 'gehört' im Alltag.,I often use the word 'gehört' in daily life.
452,beste,best,"Kannst du mir bitte erklären, was 'beste' bedeutet?",Can you please explain to me what 'beste' means?
453,Stunde,hour,'Stunde' ist ein wichtiges Wort in der deutschen Sprache.,'Stunde' is an important word in the German language.
454,besser,better,'besser' ist ein wichtiges Wort in der deutschen Sprache.,'besser' is an important word in the German language.
455,wahr,TRUE,Ich benutze oft das Wort 'wahr' im Alltag.,I often use the word 'wahr' in daily life.
456,während,during,'während' ist ein wichtiges Wort in der deutschen Sprache.,'während' is an important word in the German language.
457,hundert,hundred,'hundert' ist ein wichtiges Wort in der deutschen Sprache.,'hundert' is an important word in the German language.
458,fünf,five,Ich benutze oft das Wort 'fünf' im Alltag.,I often use the word 'fünf' in daily life.
459,merken,remember,'merken' ist ein wichtiges Wort in der deutschen Sprache.,'merken' is an important word in the German language.
460,Schritt,step,"Kannst du mir bitte erklären, was 'Schritt' bedeutet?",Can you please explain to me what 'Schritt' means?
461,früh,early,"Gestern habe ich ein Buch gelesen, in dem oft 'früh' stand.",Yesterday I read a book in which often 'früh' appeared.
462,halten,hold,'halten' ist ein wichtiges Wort in der deutschen Sprache.,'halten' is an important word in the German language.
463,Westen,west,Ich benutze oft das Wort 'Westen' im Alltag.,I often use the word 'Westen' in daily life.
464,Boden,ground,Ich benutze oft das Wort 'Boden' im Alltag.,I often use the word 'Boden' in daily life.
465,Interesse,interest,'Interesse' ist ein wichtiges Wort in der deutschen Sprache.,'Interesse' is an important word in the German language.
466,erreichen,reach,'erreichen' ist ein wichtiges Wort in der deutschen Sprache.,'erreichen' is an important word in the German language.
467,schnell,fast,Mit 'schnell' kann man viele Sätze bilden.,With 'schnell' you can form many sentences.
468,Verbum,verb,"Kannst du mir bitte erklären, was 'Verbum' bedeutet?",Can you please explain to me what 'Verbum' means?
469,singen,sing,'singen' ist ein wichtiges Wort in der deutschen Sprache.,'singen' is an important word in the German language.
470,hören,listen,Ich benutze oft das Wort 'hören' im Alltag.,I often use the word 'hören' in daily life.
471,sechs,six,'sechs' ist ein wichtiges Wort in der deutschen Sprache.,'sechs' is an important word in the German language.
472,Tabelle,table,Mit 'Tabelle' kann man viele Sätze bilden.,With 'Tabelle' you can form many sentences.
473,Reise,travel,Mit 'Reise' kann man viele Sätze bilden.,With 'Reise' you can form many sentences.
474,weniger,less,"Gestern habe ich ein Buch gelesen, in dem oft 'weniger' stand.",Yesterday I read a book in which often 'weniger' appeared.
475,Morgen,morning,Mit 'Morgen' kann man viele Sätze bilden.,With 'Morgen' you can form many sentences.
476,zehn,ten,Mit 'zehn' kann man viele Sätze bilden.,With 'zehn' you can form many sentences.
477,einfach,simple,Mit 'einfach' kann man viele Sätze bilden.,With 'einfach' you can form many sentences.
478,mehrere,several,"Gestern habe ich ein Buch gelesen, in dem oft 'mehrere' stand.",Yesterday I read a book in which often 'mehrere' appeared.
479,Vokal,vowel,"Kannst du mir bitte erklären, was 'Vokal' bedeutet?",Can you please explain to me what 'Vokal' means?
480,auf,toward,'auf' ist ein wichtiges Wort in der deutschen Sprache.,'auf' is an important word in the German language.
481,Krieg,war,"Kannst du mir bitte erklären, was 'Krieg' bedeutet?",Can you please explain to me what 'Krieg' means?
482,legen,lay,Ich benutze oft das Wort 'legen' im Alltag.,I often use the word 'legen' in daily life.
483,gegen,against,"Gestern habe ich ein Buch gelesen, in dem oft 'gegen' stand.",Yesterday I read a book in which often 'gegen' appeared.
484,Muster,pattern,Mit 'Muster' kann man viele Sätze bilden.,With 'Muster' you can form many sentences.
485,schleppend,slow,Ich benutze oft das Wort 'schleppend' im Alltag.,I often use the word 'schleppend' in daily life.
486,Zentrum,center,Ich benutze oft das Wort 'Zentrum' im Alltag.,I often use the word 'Zentrum' in daily life.
487,Liebe,love,"Kannst du mir bitte erklären, was 'Liebe' bedeutet?",Can you please explain to me what 'Liebe' means?
488,Person,person,'Person' ist ein wichtiges Wort in der deutschen Sprache.,'Person' is an important word in the German language.
489,Geld,money,Ich benutze oft das Wort 'Geld' im Alltag.,I often use the word 'Geld' in daily life.
490,dienen,serve,'dienen' ist ein wichtiges Wort in der deutschen Sprache.,'dienen' is an important word in the German language.
491,erscheinen,appear,"Kannst du mir bitte erklären, was 'erscheinen' bedeutet?",Can you please explain to me what 'erscheinen' means?
492,Straße,road,"Kannst du mir bitte erklären, was 'Straße' bedeutet?",Can you please explain to me what 'Straße' means?
493,Karte,map,Ich benutze oft das Wort 'Karte' im Alltag.,I often use the word 'Karte' in daily life.
494,regen,rain,Ich benutze oft das Wort 'regen' im Alltag.,I often use the word 'regen' in daily life.
495,Regel,rule,"Gestern habe ich ein Buch gelesen, in dem oft 'Regel' stand.",Yesterday I read a book in which often 'Regel' appeared.
496,regieren,govern,Ich benutze oft das Wort 'regieren' im Alltag.,I often use the word 'regieren' in daily life.
497,ziehen,pull,Ich benutze oft das Wort 'ziehen' im Alltag.,I often use the word 'ziehen' in daily life.
498,Kälte,cold,Ich benutze oft das Wort 'Kälte' im Alltag.,I often use the word 'Kälte' in daily life.
499,Hinweis,notice,"Gestern habe ich ein Buch gelesen, in dem oft 'Hinweis' stand.",Yesterday I read a book in which often 'Hinweis' appeared.
500,Stimme,voice,'Stimme' ist ein wichtiges Wort in der deutschen Sprache.,'Stimme' is an important word in the German language.
501,Energie,energy,'Energie' ist ein wichtiges Wort in der deutschen Sprache.,'Energie' is an important word in the German language.
502,Jagd,hunt,Ich benutze oft das Wort 'Jagd' im Alltag.,I often use the word 'Jagd' in daily life.
503,wahrscheinlich,probable,"Kannst du mir bitte erklären, was 'wahrscheinlich' bedeutet?",Can you please explain to me what 'wahrscheinlich' means?
504,Bett,bed,"Gestern habe ich ein Buch gelesen, in dem oft 'Bett' stand.",Yesterday I read a book in which often 'Bett' appeared.
505,Bruder,brother,'Bruder' ist ein wichtiges Wort in der deutschen Sprache.,'Bruder' is an important word in the German language.
506,Ei,egg,Mit 'Ei' kann man viele Sätze bilden.,With 'Ei' you can form many sentences.
507,Fahrt,ride,"Kannst du mir bitte erklären, was 'Fahrt' bedeutet?",Can you please explain to me what 'Fahrt' means?
508,Zelle,cell,Mit 'Zelle' kann man viele Sätze bilden.,With 'Zelle' you can form many sentences.
509,glauben,believe,Mit 'glauben' kann man viele Sätze bilden.,With 'glauben' you can form many sentences.
